Category,Artist,Song,AlbumArtURL
Pop / R&B,Celine Dion,Because You Loved Me,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/48/59/bd/4859bde2-c345-d637-1079-26cb78c4e7e8/074646579428.jpg/600x600bb.jpg
Pop / R&B,Celine Dion,My Heart Will Go On,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/f8/22/71/f82271b5-febd-23c2-8028-040760dda6f8/mzi.actfimaz.jpg/600x600bb.jpg
Pop / R&B,Celine Dion,That’s The Way It Is,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/aa/51/80/aa5180ca-405a-d757-7eac-f6c1f7e4c803/886447524893.jpg/600x600bb.jpg
Pop / R&B,Celine Dion,The Power Of Love,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/d4/46/90/d446905a-aac0-b7b2-ea83-fff76cedfdf2/884977419726.jpg/600x600bb.jpg
Pop / R&B,Childish Gambino,Redbone,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/60/b5/6d/60b56d6e-be3e-fd6c-32df-62ed9fa44c6a/1a2284a9-39d0-4db5-a511-457834a732be.jpg/600x600bb.jpg
Pop / R&B,Christina Perri,A Thousand Years,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f5/2e/83/f52e8357-9cf4-e644-c365-3c21839f85ac/mzi.staekbjw.jpg/600x600bb.jpg
Pop / R&B,The Clash,Spanish Bombs,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/45/d7/17/45d71740-b204-de23-3f9e-f2f823296f1d/886443520721.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Adventure of a Lifetime,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/c8/0a/6d/c80a6df9-e55a-fb83-0311-f4776984ac67/mzm.lasidxkv.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Clocks,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/b9/b4/2a/b9b42ad1-1e25-5096-da43-497a247e69a3/190295978051.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Fix You,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/0c/82/48/0c8248a8-4a5b-d30d-8056-f32d650d2fc9/190295978068.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Paradise,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/fa/41/1c/fa411c37-7a65-8a3e-71c9-4b566c49617c/5099967983858_1562x1562_300dpi.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Shiver,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f5/93/8c/f5938c49-964c-31d1-4b33-78b634f71fb7/190295978075.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Something Just Like This,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/9d/56/6f/9d566f55-5253-bed6-5c31-df952dae649d/886446379289.jpg/600x600bb.jpg
